zip_code,owner_occupied,gross_area,total_value,bed_rms,full_bth,half_bth,kitchens,total_num_rooms,fireplaces,num_parking,floor_number,building_age,remodel_age,ac_type_rank,overall_condition_rank,heat_type_rank,land_use_description_rank,zipcode_4tier_rank,adjusted_tax
02128,0,3856.0,1012500.0,7.0,3.0,0.0,3.0,14.0,0.0,0.0,3.0,125.0,21.0,0,3,6,4,3,11724.75
02128,0,4581.0,1190000.0,11.0,3.0,0.0,3.0,17.0,0.0,0.0,3.0,125.0,13.0,0,3,6,4,3,13780.2
02128,1,4518.0,959300.0,6.0,3.0,0.0,3.0,15.0,0.0,0.0,3.0,125.0,24.0,0,3,6,4,3,7124.4800000000005
02128,0,2688.0,611500.0,3.0,1.0,0.0,1.0,8.0,0.0,0.0,1.5,125.0,21.0,0,3,5,2,3,7081.17
02128,1,2212.0,480100.0,4.0,1.0,0.0,1.0,6.0,0.0,0.0,2.0,125.0,125.0,0,3,6,2,3,1575.3400000000001
02128,0,4245.0,1080400.0,10.0,3.0,0.0,3.0,20.0,0.0,0.0,3.0,126.0,25.0,0,3,6,4,3,12511.03
02128,1,4341.0,1168600.0,9.0,3.0,0.0,3.0,14.0,0.0,0.0,3.0,125.0,14.0,0,4,6,4,3,9548.169999999998
02128,1,819.0,531300.0,2.0,2.0,0.0,1.0,4.0,0.0,0.0,1.0,125.0,3.0,1,4,5,1,3,2168.24
02128,1,812.0,540600.0,2.0,2.0,0.0,1.0,4.0,0.0,0.0,2.0,125.0,3.0,1,4,5,1,3,2275.9300000000003
02128,1,812.0,550100.0,2.0,2.0,0.0,1.0,4.0,0.0,0.0,3.0,125.0,3.0,1,4,5,1,3,2385.9399999999996
02128,1,4326.0,905100.0,5.0,3.0,0.0,3.0,14.0,0.0,0.0,3.0,118.0,22.0,0,3,6,4,3,6496.839999999999
02128,1,918.0,507600.0,2.0,1.0,0.0,1.0,6.0,0.0,0.0,1.0,8.0,8.0,1,3,5,1,3,1893.79
02128,0,925.0,508200.0,2.0,1.0,0.0,1.0,5.0,0.0,0.0,2.0,8.0,8.0,1,3,5,1,3,5884.96
02128,0,1051.0,544600.0,2.0,1.0,0.0,1.0,5.0,0.0,0.0,3.0,8.0,8.0,1,3,5,1,3,6306.47
02128,0,3130.0,1054100.0,6.0,3.0,0.0,3.0,15.0,0.0,0.0,3.0,135.0,6.0,1,4,5,4,3,12206.48
02128,0,3080.0,784500.0,6.0,3.0,0.0,3.0,14.0,0.0,0.0,3.0,135.0,135.0,0,3,6,4,3,9084.51
02128,0,4024.0,883300.0,6.0,3.0,0.0,3.0,15.0,0.0,0.0,3.0,135.0,135.0,0,3,6,4,3,10228.61
02128,1,1325.0,613700.0,2.0,2.0,0.0,1.0,5.0,0.0,0.0,2.0,9.0,9.0,1,3,5,1,3,3122.4300000000003
02128,0,809.0,509400.0,2.0,1.0,0.0,1.0,4.0,0.0,0.0,2.0,9.0,9.0,1,3,5,1,3,5898.85
02128,1,916.0,525700.0,2.0,1.0,0.0,1.0,4.0,0.0,0.0,1.0,9.0,9.0,1,3,5,1,3,2103.3900000000003
02128,0,3872.0,460800.0,8.0,4.0,0.0,4.0,14.0,0.0,0.0,3.0,135.0,58.0,0,1,6,4,3,5336.06
02128,0,3696.0,840400.0,6.0,3.0,0.0,3.0,15.0,0.0,0.0,3.0,125.0,125.0,0,3,6,4,3,9731.83
02128,0,3868.0,826100.0,6.0,3.0,0.0,3.0,15.0,0.0,0.0,3.0,125.0,125.0,0,3,6,4,3,9566.24
02128,1,3392.0,862000.0,8.0,3.0,0.0,3.0,14.0,0.0,0.0,3.0,37.0,37.0,0,3,6,4,3,5997.749999999999
02128,0,2237.0,700100.0,3.0,1.0,1.0,1.0,6.0,0.0,0.0,2.0,125.0,125.0,0,4,6,2,3,8107.16
02128,1,2345.0,537100.0,3.0,2.0,0.0,1.0,6.0,0.0,0.0,2.0,125.0,125.0,0,3,3,2,3,2235.3999999999996
02128,0,1920.0,227900.0,3.0,2.0,0.0,1.0,6.0,0.0,0.0,2.0,125.0,11.0,0,1,6,2,3,2639.08
02128,0,4106.0,728400.0,9.0,6.0,1.0,3.0,15.0,0.0,0.0,3.0,115.0,3.0,1,4,5,4,3,8434.87
02128,0,4230.0,727500.0,9.0,6.0,1.0,3.0,15.0,0.0,0.0,3.0,125.0,3.0,1,4,5,4,3,8424.45
02128,0,802.0,492400.0,2.0,2.0,0.0,1.0,4.0,0.0,0.0,1.0,135.0,7.0,1,3,5,1,3,5701.99
02128,1,802.0,519000.0,2.0,2.0,0.0,1.0,4.0,0.0,0.0,3.0,135.0,7.0,1,3,5,1,3,2025.8100000000004
02128,1,660.0,489800.0,2.0,1.0,0.0,1.0,4.0,0.0,0.0,3.0,135.0,7.0,1,3,5,1,3,1687.67
02128,0,3404.0,819400.0,8.0,2.0,0.0,2.0,11.0,0.0,0.0,3.0,125.0,125.0,0,3,3,3,3,9488.65
02128,1,1025.0,571200.0,2.0,2.0,0.0,1.0,5.0,0.0,0.0,1.0,9.0,9.0,1,3,5,1,3,2630.2799999999997
02128,1,654.0,456400.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,2.0,9.0,9.0,0,3,5,1,3,1300.8999999999996
02128,0,2386.0,674600.0,4.0,2.0,0.0,2.0,7.0,0.0,0.0,1.5,125.0,11.0,0,3,6,3,3,7811.87
