own_occ,gross_area,total_value,gross_tax,bed_rms,full_bth,hlf_bth,tt_rms,kitchens,fireplaces,num_parking,floor_number,building_age,remodel_age,ac_quality,overall_condition_ranking,heat_type_rank,property_rank,zipcode_rank
1,2354.0,696700.0,8067.78,3.0,2.0,0.0,8.0,2.0,0.0,0.0,1.5,120.0,13.0,0,4,3,3,2
0,2934.0,848800.0,9829.1,4.0,3.0,1.0,8.0,3.0,0.0,0.0,2.0,125.0,12.0,0,3,5,4,2
1,5308.0,1037300.0,12011.93,8.0,3.0,0.0,11.0,3.0,0.0,0.0,3.0,125.0,125.0,0,3,6,4,2
1,1023.0,523900.0,6066.76,2.0,1.0,0.0,5.0,1.0,0.0,0.0,1.0,125.0,7.0,0,4,6,2,2
0,1016.0,540400.0,6257.83,3.0,1.0,0.0,6.0,1.0,0.0,0.0,2.0,125.0,7.0,0,4,6,2,2
0,1121.0,572400.0,6628.39,3.0,1.0,0.0,6.0,1.0,0.0,0.0,3.0,125.0,7.0,0,4,6,2,2
0,5264.0,990700.0,11472.31,8.0,3.0,0.0,17.0,3.0,0.0,0.0,3.0,125.0,125.0,0,3,3,4,2
0,5264.0,1042300.0,12069.83,9.0,3.0,0.0,17.0,3.0,0.0,0.0,3.0,125.0,125.0,0,3,6,4,2
0,5032.0,1168500.0,13531.23,11.0,4.0,0.0,17.0,3.0,0.0,0.0,3.0,125.0,25.0,0,3,6,4,2
1,606.0,403400.0,4671.37,2.0,1.0,0.0,4.0,1.0,0.0,0.0,1.0,10.0,10.0,0,3,5,2,2
0,654.0,422500.0,4892.55,2.0,1.0,1.0,4.0,1.0,0.0,0.0,2.0,10.0,10.0,0,3,5,2,2
1,723.0,445600.0,5160.04,2.0,1.0,0.0,4.0,1.0,0.0,0.0,3.0,10.0,10.0,0,3,5,2,2
0,3604.0,881900.0,10212.4,5.0,3.0,0.0,12.0,3.0,0.0,0.0,3.0,126.0,126.0,0,3,3,4,2
0,2943.0,817000.0,9460.86,6.0,3.0,0.0,12.0,3.0,0.0,0.0,3.0,125.0,125.0,0,3,6,4,2
0,6615.0,1418100.0,16421.6,9.0,3.0,0.0,18.0,3.0,0.0,4.0,3.0,135.0,23.0,0,3,6,4,2
1,5440.0,1130400.0,13090.03,9.0,3.0,0.0,18.0,3.0,0.0,3.0,2.0,126.0,14.0,0,3,6,4,2
1,527.0,343500.0,3977.73,1.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,11.0,11.0,1,3,5,2,2
1,603.0,431500.0,4996.77,2.0,1.0,0.0,4.0,1.0,0.0,0.0,2.0,12.0,11.0,1,3,5,2,2
0,647.0,422900.0,4897.18,2.0,1.0,0.0,4.0,1.0,0.0,0.0,3.0,12.0,11.0,1,3,5,2,2
0,3637.0,1019000.0,11800.02,6.0,3.0,0.0,13.0,3.0,0.0,0.0,3.0,135.0,12.0,0,4,6,4,2
1,5173.0,879400.0,10183.45,5.0,3.0,0.0,14.0,3.0,0.0,0.0,3.0,135.0,135.0,0,3,6,4,2
0,5187.0,1162300.0,13459.43,9.0,4.0,0.0,17.0,4.0,0.0,0.0,3.0,125.0,125.0,0,3,6,4,2
0,3388.0,799200.0,9254.74,6.0,3.0,0.0,15.0,3.0,0.0,0.0,3.0,125.0,125.0,0,3,6,4,2
0,3388.0,795800.0,9215.36,6.0,3.0,0.0,15.0,3.0,0.0,0.0,3.0,125.0,125.0,0,3,6,4,2
0,3486.0,810800.0,9389.06,6.0,3.0,0.0,15.0,3.0,0.0,0.0,3.0,125.0,125.0,0,3,5,4,2
0,3486.0,765700.0,8866.81,5.0,3.0,0.0,15.0,3.0,0.0,0.0,3.0,125.0,125.0,0,3,6,4,2
1,2466.0,452900.0,5244.58,3.0,2.0,1.0,6.0,2.0,0.0,0.0,2.0,125.0,8.0,0,3,6,3,2
0,1918.0,514300.0,5955.59,3.0,1.0,0.0,6.0,1.0,0.0,0.0,2.0,125.0,125.0,0,3,6,1,2
0,3246.0,691000.0,8001.78,4.0,2.0,0.0,8.0,2.0,0.0,0.0,2.5,85.0,85.0,0,3,6,3,2
1,4452.0,1054000.0,12205.32,9.0,3.0,0.0,15.0,3.0,0.0,0.0,3.0,125.0,125.0,0,3,6,4,2
1,4088.0,941700.0,10904.88,5.0,3.0,0.0,15.0,3.0,0.0,0.0,3.0,125.0,23.0,0,3,6,4,2
0,3856.0,1012500.0,11724.75,7.0,3.0,0.0,14.0,3.0,0.0,0.0,3.0,125.0,21.0,0,3,6,4,2
0,4581.0,1190000.0,13780.2,11.0,3.0,0.0,17.0,3.0,0.0,0.0,3.0,125.0,13.0,0,3,6,4,2
